COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CC1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f68f470b.cif
COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-026b24df.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b3a08e3b.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-26d3fb3f.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ead2b769.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-35751c73.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-83a34ace.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-be0f6b18.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b4c74435.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-129188d5.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d55b25e0.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-e1f63d4b.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-c4e5d6a5.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ef871b76.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-c9fc6cfe.cif

COO SMILES: O=C(O)c1cc(ccc1C(=O)O)OC O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-de9c47ce.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-6594b536.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-1f7058da.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-69395979.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0f927632.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-51d60bba.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-82ee3941.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d02b6919.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-23bf5ff7.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5f12b0fd.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-35045160.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-fb4fc878.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ae8d56e8.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-da229ab6.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-53092711.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-319b7a9f.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d86936ee.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-a6e6b205.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-dbc1fb23.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-511296dd.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-59dc556e.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-6c84dfe3.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-2c3f246a.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-eb5cc430.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-70442069.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-2a33d2f7.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-43c4f367.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d0a72f6c.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-8f623362.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-49802549.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-31bda0ad.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ba8ea0b7.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-99e79f58.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-f8d06b4b.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-56d99528.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-63546767.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-bdf16489.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-94262848.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-62dd0bbb.cif

COO SMILES: O=C(O)c1ccc(cc1C(=O)O)NC(=S)N O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-2af5e09c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C1CC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-82a7df21.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-6711d2a1.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-d5e63b8d.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0e9202fd.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1ccc(cc1C(=O)O)SC#N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-0d93be93.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)NC(=O)C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5ab1bdef.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(ccc1C(=O)O)N(=O)=O; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-3a7e0671.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-b51b14e9.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(ccc1C(=O)O)OC; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-1b7971fa.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-39a43dec.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-ac32b00c.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1ccc(cc1C(=O)O)NC(=S)N; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-5f8df55f.cif

COO SMILES: O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1 O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1; Cyano SMILES: N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2; MOF: example_MOF_mof-daa2af0d.cif

PERCENT SUCCESSFULLY ASSEMBLED MOFS: 0.169

